poliza;predio_cop_2024;estrato;sistema_constructivo;tipo_predio;localidad;area_construida;alcobas;banos;subestructura_cimentacion;divisiones_interiores;fachada;ventaneria;pisos_alcobas;tipo_cocina;pisos_baños;lavadero;puerta_principal;puertas_interiores
7346;916837.1156;4;Industrializado - Forsa;Apartamento;Fontibón;78;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madera
7347;946134.5423;4;Industrializado - Forsa;Apartamento;Fontibón;79;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madera
7348;1068494.383;4;Industrializado - Forsa;Apartamento;Fontibón;88;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madera
7349;548682.2059;4;Tradicional aporticado;Apartamento;Usaquen;50;1;1;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir
7350;464119.4924;4;Tradicional aporticado;Apartamento;Usaquen;41;1;1;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir
7351;587461.6585;4;Tradicional aporticado;Apartamento;Usaquen;55;1;1;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir
7352;437738.0214;4;Industrializado - Forsa;Apartamento;Fontibón;56;2;2;Cimentaciones - Pilotes;Concreto;Pañete - estuco - pintura;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madecor
7353;456695.1798;4;Industrializado - Forsa;Apartamento;Fontibón;60;2;2;Cimentaciones - Pilotes;Concreto;Pañete - estuco - pintura;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madecor
7354;558374.484;4;Industrializado - Forsa;Apartamento;Fontibón;68;3;2;Cimentaciones - Pilotes;Concreto;Pañete - estuco - pintura;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madecor
7355;570438.1302;4;Industrializado - Forsa;Apartamento;Fontibón;69;3;2;Cimentaciones - Pilotes;Concreto;Pañete - estuco - pintura;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madecor
7356;577331.6424;4;Industrializado - Forsa;Apartamento;Fontibón;76;3;2;Cimentaciones - Pilotes;Concreto;Pañete - estuco - pintura;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madecor
7357;637649.8737;4;Industrializado - Forsa;Apartamento;Fontibón;81;3;2;Cimentaciones - Pilotes;Concreto;Pañete - estuco - pintura;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madecor
