poliza;predio_cop_2024;estrato;sistema_constructivo;tipo_predio;localidad;area_construida;alcobas;banos;subestructura_cimentacion;divisiones_interiores;fachada;ventaneria;pisos_alcobas;tipo_cocina;pisos_baños;lavadero;puerta_principal;puertas_interiores
7253;920283.8717;4;Industrializado - Forsa;Apartamento;Fontibón;78;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madera
7254;1059877.493;4;Industrializado - Forsa;Apartamento;Fontibón;88;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madera
7255;579055.0204;4;Industrializado - Forsa;Apartamento;Engativá;85;2;3;Cimentaciones - Pilotes;Concreto;Caraplast;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madecor
7256;520036.2161;4;Tradicional aporticado;Apartamento;Engativá;77;3;2;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Sin definir;Sin definir;Sin definir;Sin definir;Metalica;Melaminico
7257;181933.5726;2;Industrializado - Manoportable;Apartamento;Bosa;56;2;1;Cimentaciones - Placa flotada;Concreto;Ladrillo a la vista;Aluminio;Piso afinado;Sólo mesón;Cemento afinado;Granito;Metalica;Sin definir
7258;180954.6939;2;Industrializado - Manoportable;Apartamento;Bosa;62;3;2;Cimentaciones - Placa flotada;Concreto;Ladrillo a la vista;Aluminio;Piso afinado;Sólo mesón;Cemento afinado;Granito;Metalica;Sin definir
7259;448078.2896;3;Industrializado - Manoportable;Apartamento;Fontibón;52;2;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Seguridad;Madera
7260;429000.4947;3;Industrializado - Manoportable;Apartamento;Fontibón;58;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Sin definir;Granito;Madera;Madera
7261;604905.691;6;Tradicional aporticado;Apartamento;Usaquen;48;1;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Sin definir;Integral;Sin definir;Vidrio;Sin definir;Sin definir
7262;584757.6783;3;Tradicional aporticado;Apartamento;Mártires;81;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Sin definir;Madera;Sin definir
7263;275740.4859;3;Tradicional aporticado;Apartamento;Engativá;57;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Graniplast;Aluminio;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir
7264;1840251.009;5;Tradicional aporticado;Apartamento;Usaquen;160;4;4;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Seguridad;Madera
7265;608352.447;4;Tradicional aporticado;Apartamento;Teusaquillo;55;1;1;Sin definir;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Porcelanato;Sin definir;Seguridad;Madera
7266;1078834.651;4;Tradicional aporticado;Apartamento;Teusaquillo;97;2;2;Sin definir;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Porcelanato;Sin definir;Seguridad;Madera
7267;844386.303;4;Tradicional aporticado;Apartamento;Teusaquillo;75;1;2;Sin definir;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Porcelanato;Sin definir;Seguridad;Madera
7268;718648.6414;4;Tradicional aporticado;Apartamento;Teusaquillo;65;1;1;Sin definir;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Porcelanato;Sin definir;Seguridad;Madera
7269;763456.4704;4;Tradicional aporticado;Apartamento;Teusaquillo;60;2;1;Sin definir;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Porcelanato;Sin definir;Seguridad;Madera
7270;772473.1842;4;Tradicional aporticado;Apartamento;Teusaquillo;68;2;2;Sin definir;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Porcelanato;Sin definir;Seguridad;Madera
7271;1443137.811;4;Tradicional aporticado;Apartamento;Teusaquillo;121;3;3;Sin definir;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Porcelanato;Sin definir;Seguridad;Madera
7272;1250441.743;4;Tradicional aporticado;Apartamento;Teusaquillo;102;2;3;Sin definir;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Porcelanato;Sin definir;Seguridad;Madera
7273;372844.2214;3;Industrializado - Forsa;Apartamento;Suba;53;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Sin definir;Sin definir;Sin definir;Sin definir;Madera;Sin definir
7274;386898.3693;3;Industrializado - Forsa;Apartamento;Suba;55;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Sin definir;Sin definir;Sin definir;Sin definir;Madera;Sin definir
7275;450229.0654;3;Industrializado - Forsa;Apartamento;Suba;64;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Sin definir;Sin definir;Sin definir;Sin definir;Madera;Sin definir
7276;478368.382;3;Industrializado - Forsa;Apartamento;Suba;68;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Sin definir;Sin definir;Sin definir;Sin definir;Madera;Sin definir
7277;605316.0638;3;Tradicional aporticado;Apartamento;Teusaquillo;51;1;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Porcelanato;Integral;Porcelanato;Sin definir;Metalica;Sin definir
7278;430844.5092;2;Mamposteria estructural;Apartamento;Candelaria;50;3;2;Cimentaciones - Caissons;Bloque de arcilla;Ladrillo a la vista;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Madecor
7279;1214981.516;5;Tradicional aporticado;Apartamento;Usaquen;94;2;3;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Porcelanato;Granito;Madera;Madera
7280;1516572.672;5;Tradicional aporticado;Apartamento;Usaquen;118;3;3;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Porcelanato;Granito;Madera;Madera
7281;411673.5312;3;Industrializado - Otro tipo de formaleta metalica;Apartamento;Suba;63;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Sin definir;Integral;Sin definir;Vidrio;Sin definir;Sin definir
7282;431837.1328;3;Industrializado - Otro tipo de formaleta metalica;Apartamento;Suba;65;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Sin definir;Integral;Sin definir;Vidrio;Sin definir;Sin definir
7283;520460.1671;3;Tradicional aporticado;Apartamento;Antonio Nariño;74;3;2;Cimentaciones - Zapatas;Ladrillo de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Otro;Ceramica;Sin definir;Sin definir;Sin definir
7284;509726.9687;3;Tradicional aporticado;Apartamento;Antonio Nariño;75;3;2;Cimentaciones - Zapatas;Ladrillo de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Otro;Ceramica;Sin definir;Sin definir;Sin definir
7285;564788.897;3;Tradicional aporticado;Apartamento;Antonio Nariño;87;3;2;Cimentaciones - Zapatas;Ladrillo de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Otro;Ceramica;Sin definir;Sin definir;Sin definir
7286;611957.7539;3;Tradicional aporticado;Apartamento;Antonio Nariño;89;3;2;Cimentaciones - Zapatas;Ladrillo de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Otro;Ceramica;Sin definir;Sin definir;Sin definir
7287;639373.2517;3;Tradicional aporticado;Apartamento;Antonio Nariño;90;3;2;Cimentaciones - Zapatas;Ladrillo de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Otro;Ceramica;Sin definir;Sin definir;Sin definir
7288;625470.7611;3;Tradicional aporticado;Apartamento;Antonio Nariño;94;3;2;Cimentaciones - Zapatas;Ladrillo de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Otro;Ceramica;Sin definir;Sin definir;Sin definir
7289;255059.9495;3;Tradicional aporticado;Apartamento;Antonio Nariño;36;1;1;Cimentaciones - Zapatas;Ladrillo de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Otro;Ceramica;Sin definir;Sin definir;Sin definir
7290;453248.4237;3;Industrializado - Manoportable;Apartamento;Fontibón;66;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Sin definir;Granito;Madera;Madera
7291;487371.3088;3;Tradicional aporticado;Apartamento;Santa fe;37;1;1;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Sin definir;Ceramica;Vidrio;Madera;Madera
7292;607490.758;3;Tradicional aporticado;Apartamento;Santa fe;47;1;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Sin definir;Ceramica;Vidrio;Madera;Madera
7293;716925.2634;3;Tradicional aporticado;Apartamento;Santa fe;60;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Sin definir;Ceramica;Vidrio;Madera;Madera
7294;191984.3133;2;Industrializado - Forsa;Apartamento;Kennedy;51;2;1;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Piso afinado;Sólo mesón;Cemento afinado;Granito;Metalica;Madera
7295;191984.3133;2;Industrializado - Forsa;Apartamento;Kennedy;51;2;1;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Piso afinado;Sólo mesón;Cemento afinado;Granito;Metalica;Madera
7296;696244.7269;4;Industrializado - Forsa;Apartamento;Engativá;94;3;3;Cimentaciones - Pilotes;Concreto;Caraplast;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madecor
7297;792753.897;4;Industrializado - Forsa;Apartamento;Engativá;99;3;3;Cimentaciones - Pilotes;Concreto;Caraplast;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madecor
7298;487715.9844;4;Industrializado - Forsa;Apartamento;Engativá;58;3;2;Cimentaciones - Pilotes;Concreto;Caraplast;Aluminio;Alfombra;Integral;Ceramica;Granito;Madera;Melaminico
7299;528990.8884;4;Tradicional aporticado;Apartamento;Engativá;77;3;2;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Sin definir;Sin definir;Sin definir;Sin definir;Metalica;Melaminico
7300;530477.4715;4;Tradicional aporticado;Apartamento;Engativá;77;3;2;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Sin definir;Sin definir;Sin definir;Sin definir;Metalica;Melaminico
7301;499779.6307;3;Tradicional aporticado;Apartamento;Fontibón;62;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Caraplast;Aluminio;Laminado madera;Sin definir;Ceramica;Sin definir;Sin definir;Sin definir
7302;311382.1549;3;Tradicional aporticado;Apartamento;Usaquen;52;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Granito;Metalica;Otro
7303;449170.9113;4;Industrializado - Unispan;Apartamento;Engativá;66;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Porcelanato;Integral;Ceramica;Vidrio;Seguridad;Madecor
7304;581243.7105;4;Industrializado - Unispan;Apartamento;Engativá;79;1;1;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Porcelanato;Integral;Ceramica;Vidrio;Seguridad;Madecor
7305;514741.9988;4;Industrializado - Unispan;Apartamento;Engativá;80;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Porcelanato;Integral;Ceramica;Vidrio;Seguridad;Madecor
7306;573617.9237;4;Tradicional aporticado;Apartamento;Fontibón;36;1;1;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madecor
7307;919760.3754;4;Tradicional aporticado;Apartamento;Fontibón;76;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madecor
7308;825191.9207;4;Tradicional aporticado;Apartamento;Teusaquillo;67;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madera
